ep-3589 CCC=C(C)C=O
ep-3591 CC(C=O)=CCF
ep-3592 C=CC=C(C)C=O
ep-3593 CC(C=O)=CC=O
ep-3594 C#CC=C(C)C=O
ep-3597 COC=C(C)C=O
ep-3598 CC(C=O)=C(F)F
ep-3599 C#CC(C#C)=CC
ep-3601 C#CC(C#C)=CF
ep-3602 C#CC(=C)C#CC
ep-3604 C#CC(=C)C#CF
ep-3605 C#CC(C)=C(C)C
ep-3607 C#CC(C)=C(C)F
ep-3608 CC#CC(C)=CC
ep-3610 CC=C(C)C#CF
ep-3611 C#CC(C)=CCC
ep-3613 C#CC(C)=CCF
ep-3614 C#CC(C)=CC=C
ep-3615 C#CC(C)=CC=O
ep-3616 C#CC=C(C)C#C
ep-3622 C#CC(C)=COC
ep-3623 C#CC(C)=C(F)F
ep-3624 CC#CC(C)=CF
ep-3626 CC(C#CF)=CF
ep-3627 C=C(C)C#CCC
ep-3629 C=C(C)C#CCF
ep-3630 C=CC#CC(=C)C
ep-3631 C=C(C)C#CC=O
ep-3632 C#CC#CC(=C)C
ep-3633 C=C(C)C#COC
ep-3640 COC(C)=C(C)C
ep-3641 CCC(F)=C(C)C
ep-3643 CC(C)=C(F)CF
ep-3644 C=CC(F)=C(C)C
ep-3645 CC(C)=C(F)C=O
ep-3646 C#CC(F)=C(C)C
ep-3647 CC(=O)C=C(C)C
ep-3648 CCCC=C(C)C
ep-3650 CC(C)=CCCF
ep-3651 C=CCC=C(C)C
ep-3652 CC(C)=CCC=O
ep-3653 C#CCC=C(C)C
ep-3658 COCC=C(C)C
ep-3659 CC(C)=CC(F)F
ep-3660 C=C(F)C=C(C)C
ep-3661 CC(C)=CC(=O)F
ep-3662 CC=CC=C(C)C
ep-3664 CC(C)=CC=CF
ep-3665 CC#CC=C(C)C
ep-3667 CC(C)=CC#CF
ep-3669 COC(F)=C(C)C
ep-3670 CCOC=C(C)C
ep-3672 CC(C)=COCF
ep-3673 C=COC=C(C)C
ep-3674 CC(C)=COC=O
ep-3675 C#COC=C(C)C
ep-3676 CCC(=O)C(C)=O
ep-3678 CC(=O)C(=O)CF
ep-3679 C=CC(=O)C(C)=O
ep-3680 CC(=O)C(=O)C=O
ep-3681 C#CC(=O)C(C)=O
ep-3682 CCCC(=O)CC
ep-3684 CCC(=O)CCF
ep-3685 C=CCC(=O)CC
ep-3686 CCC(=O)CC=O
