ep-17160 C#CC#CCCOC
ep-17161 COC#CCCOC
ep-17190 CCC(C)=CCOC
ep-17193 C=CC(C)=CCOC
ep-17195 C#CC(C)=CCOC
ep-17208 COCC=CC(C)C
ep-17211 C=C(C)C=CCOC
ep-17213 CCCC=CCOC
ep-17216 C=CCC=CCOC
ep-17218 C#CCC=CCOC
ep-17223 COCC=CCOC
ep-17227 CC=CC=CCOC
ep-17230 CC#CC=CCOC
ep-17237 C=COC=CCOC
ep-17239 C#COC=CCOC
ep-17240 COCC#CC(C)C
ep-17243 C=C(C)C#CCOC
ep-17245 CCCC#CCOC
ep-17248 C=CCC#CCOC
ep-17250 C#CCC#CCOC
ep-17255 COCC#CCOC
ep-17259 CC=CC#CCOC
ep-17262 CC#CC#CCOC
ep-17267 C=COC#CCOC
ep-17269 C#COC#CCOC
ep-17332 C=COC(OC)OC
ep-17354 C#COC(OC)OC
ep-17457 C=C(OC)OCOC
ep-17520 C=COC(=CC)OC
ep-17523 C=C(OC)OC=CC
ep-17526 C=COC(=C)OC=C
ep-17528 C#COC(=C)OC=C
ep-17581 C#COC(=CC)OC
ep-17584 C=C(OC)OC#CC
ep-17587 C#COC(=C)OC#C
ep-17617 COC(OC)=C(C)C
ep-17620 CCC=C(OC)OC
ep-17623 C=CC=C(OC)OC
ep-17625 C#CC=C(OC)OC
ep-17628 COC=C(OC)OC
ep-17734 C=COCOCOC
ep-17736 C#COCOCOC
ep-17783 COCOC=C(C)C
ep-17786 C=COCOC=CC
ep-17788 C#COCOC=CC
ep-17789 CCC=COCOC
ep-17792 C=CC=COCOC
ep-17794 C#CC=COCOC
ep-17800 COC=COCOC
ep-17805 C=COCOC#CC
ep-17860 C#COCOC#CC
ep-17861 CCC#COCOC
ep-17864 C=CC#COCOC
ep-17866 C#CC#COCOC
ep-17868 COC#COCOC
ep-18168 CC=COC=C(C)C
ep-18171 C=COC=C(C)CC
ep-18174 C=COC=C(C)C=C
ep-18176 C#CC(C)=COC=C
ep-18195 CC=COC=CCC
ep-18198 C=CC=COC=CC
ep-18200 C#CC=COC=CC
ep-18209 CC=COC=COC
ep-18217 C=COC=CC(C)C
ep-18220 C=COC=CC(=C)C
ep-18222 C=COC=CCCC
ep-18225 C=CCC=COC=C
ep-18227 C#CCC=COC=C
ep-18235 C=COC=CC=CC
ep-18238 C=COC=CC#CC
ep-18248 C=COC=COC=C
ep-18250 C#COC=COC=C
ep-18296 CC#COC=C(C)C
ep-18299 C#COC=C(C)CC
ep-18302 C#COC=C(C)C=C
ep-18304 C#COC=C(C)C#C
ep-18323 CC#COC=CCC
ep-18326 C=CC=COC#CC
ep-18328 C#CC=COC#CC
ep-18329 CC=COC#CCC
ep-18332 C=CC#COC=CC
ep-18334 C#CC#COC=CC
ep-18341 CC=COC#COC
ep-18348 C#COC=CC(C)C
ep-18351 C#COC=CC(=C)C
ep-18353 C#COC=CCCC
ep-18356 C#COC=CCC=C
ep-18358 C#CCC=COC#C
ep-18366 C#COC=CC=CC
ep-18369 C#COC=CC#CC
ep-18378 CC#COC=COC
ep-18388 C#COC=COC#C
ep-18399 C=COC#CC(C)C
ep-18402 C=COC#CC(=C)C
ep-18404 C=COC#CCCC
ep-18407 C=CCC#COC=C
ep-18409 C#CCC#COC=C
ep-18417 C=COC#CC=CC
ep-18420 C=COC#CC#CC
ep-18423 C=COC#COC=C
ep-18425 C#COC#COC=C
ep-18426 COC=C(C)C(C)C
ep-18429 C=C(C)C(C)=COC
ep-18431 CCC(=COC)CC
ep-18434 C=CC(=COC)CC
ep-18436 C#CC(=COC)CC
ep-18437 CCCC(C)=COC
ep-18440 C=CCC(C)=COC
ep-18442 C#CCC(C)=COC
ep-18459 C=CC(C=C)=COC
ep-18461 C#CC(C=C)=COC
ep-18462 CC=CC(C)=COC
ep-18467 C#CC(C#C)=COC
ep-18468 CC#CC(C)=COC
ep-18519 COC=CC(C)(C)C
ep-18522 CCC(C)C=COC
ep-18525 C=CC(C)C=COC
ep-18527 C#CC(C)C=COC
ep-18543 C=C(C=COC)CC
ep-18546 C=CC(=C)C=COC
ep-18548 C#CC(=C)C=COC
ep-18549 CC=C(C)C=COC
ep-18558 COC=CCC(C)C
ep-18561 C=C(C)CC=COC
ep-18563 CCCCC=COC
ep-18566 C=CCCC=COC
ep-18568 C#CCCC=COC
ep-18576 CC=CCC=COC
ep-18579 CC#CCC=COC
ep-18592 COC=CC=C(C)C
ep-18595 CCC=CC=COC
ep-18598 C=CC=CC=COC
ep-18600 C#CC=CC=COC
ep-18603 COC=CC=COC
ep-18605 CCC#CC=COC
ep-18608 C=CC#CC=COC
ep-18610 C#CC#CC=COC
ep-18611 COC#CC=COC
ep-18638 CC#COC#CCC
ep-18641 C=CC#COC#CC
ep-18643 C#CC#COC#CC
ep-18650 CC#COC#COC
ep-18657 C#COC#CC(C)C
ep-18660 C#COC#CC(=C)C
ep-18662 C#COC#CCCC
ep-18665 C#COC#CCC=C
ep-18667 C#CCC#COC#C
ep-18675 C#COC#CC=CC
ep-18678 C#COC#CC#CC
