ep-923330 FCC(OC(F)C(F)F)C(F)(F)C(F)(F)F
ep-923331 CC(OC(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-923332 FCC(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-923333 FC(F)C(F)OC(C(F)C(F)F)C(F)(F)F
ep-923334 FCC(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-923335 FC(F)C(F)C(OC(F)C(F)(F)F)C(F)F
ep-923336 FC(F)C(F)OC(C(F)F)C(F)C(F)(F)F
ep-923337 FCC(OC(F)C(F)(F)F)C(F)C(F)(F)F
ep-923338 FC(F)CC(OC(F)C(F)(F)F)C(F)(F)F
ep-923339 FC(F)C(F)OC(CC(F)(F)F)C(F)(F)F
ep-923340 FC(F)C(CC(F)(F)F)OC(F)C(F)(F)F
ep-923341 FCC(F)(F)C(OCC(F)(F)F)C(F)(F)F
ep-923342 FC(F)COC(C(F)(F)F)C(F)(F)C(F)F
ep-923343 FCCOC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-923344 FC(F)C(OCC(F)(F)F)C(F)(F)C(F)F
ep-923345 FC(F)COC(C(F)F)C(F)(F)C(F)(F)F
ep-923346 FCC(OCC(F)(F)F)C(F)(F)C(F)(F)F
ep-923347 FC(F)C(F)C(OCC(F)(F)F)C(F)(F)F
ep-923348 FC(F)COC(C(F)C(F)(F)F)C(F)(F)F
ep-923349 FC(F)C(OCC(F)(F)F)C(F)C(F)(F)F
ep-923350 FC(F)(F)COC(CC(F)(F)F)C(F)(F)F
ep-923365 C=C(F)C(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-923366 FC=C(F)C(F)(OC(F)(F)CF)C(F)(F)F
ep-923367 CC(F)(F)OC(F)(C(F)=C(F)F)C(F)(F)F
ep-923368 C=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-923369 FC=C(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-923370 FCC(F)(F)OC(F)(C(F)=C(F)F)C(F)F
ep-923371 FC=C(F)C(F)(CF)OC(F)(F)C(F)(F)F
ep-923372 FCC(F)(OC(F)(F)C(F)F)C(F)=C(F)F
ep-923373 CC(F)(OC(F)(F)C(F)(F)F)C(F)=C(F)F
ep-923374 C=CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923375 FC=CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-923376 FCC(F)(F)OC(F)(C=C(F)F)C(F)(F)F
ep-923377 FC=CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-923378 FC(F)=CC(F)(OC(F)(F)C(F)F)C(F)F
ep-923379 FCC(F)(C=C(F)F)OC(F)(F)C(F)(F)F
ep-923380 C=C(F)C(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-923381 FC=C(F)C(F)(OC(F)C(F)F)C(F)(F)F
ep-923382 FCC(F)OC(F)(C(F)=C(F)F)C(F)(F)F
ep-923383 FC=C(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-923384 FC(F)=C(F)C(F)(OC(F)C(F)F)C(F)F
ep-923385 FCC(F)(OC(F)C(F)(F)F)C(F)=C(F)F
ep-923386 FC=CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-923387 FC(F)=CC(F)(OC(F)C(F)F)C(F)(F)F
ep-923388 FC(F)=CC(F)(OC(F)C(F)(F)F)C(F)F
ep-923389 FC=C(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-923390 FC(F)=C(F)C(F)(OCC(F)F)C(F)(F)F
ep-923391 FC(F)=C(F)C(F)(OCC(F)(F)F)C(F)F
ep-923392 FC(F)=CC(F)(OCC(F)(F)F)C(F)(F)F
ep-923393 C=C(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923394 FC=C(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-923395 FCC(F)(F)OC(C(F)=C(F)F)C(F)(F)F
ep-923396 FC=C(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-923397 FC(F)=C(F)C(OC(F)(F)C(F)F)C(F)F
ep-923398 FCC(OC(F)(F)C(F)(F)F)C(F)=C(F)F
ep-923399 FC=CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923400 FC(F)=CC(OC(F)(F)C(F)F)C(F)(F)F
ep-923401 FC(F)=CC(OC(F)(F)C(F)(F)F)C(F)F
ep-923402 FC=C(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-923403 FC(F)=C(F)C(OC(F)C(F)F)C(F)(F)F
ep-923404 FC(F)=C(F)C(OC(F)C(F)(F)F)C(F)F
ep-923405 FC(F)=CC(OC(F)C(F)(F)F)C(F)(F)F
ep-923406 FC(F)=C(F)C(OCC(F)(F)F)C(F)(F)F
ep-923407 C#CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923408 FC#CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-923409 FC#CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-923410 FC#CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-923411 FC#CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923412 CCC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-923413 CC(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-923414 FCCC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-923415 CC(F)(F)C(F)(F)OC(F)(CF)C(F)(F)F
ep-923416 FCC(F)C(F)(F)OC(F)(CF)C(F)(F)F
ep-923417 FCC(F)(OC(F)(F)CC(F)F)C(F)(F)F
ep-923418 CC(F)(OC(F)(F)C(F)(F)CF)C(F)(F)F
ep-923419 CC(F)(OC(F)(F)C(F)C(F)F)C(F)(F)F
