ep-775046 CC(OCF)(C(F)F)C(F)(F)F
ep-775047 FCOC(CF)(CF)C(F)(F)F
ep-775048 FCOC(CF)(C(F)F)C(F)F
ep-775049 COC(C)(C(F)(F)F)C(F)(F)F
ep-775050 COC(CF)(C(F)F)C(F)(F)F
ep-775051 COC(C(F)F)(C(F)F)C(F)F
ep-775058 CC(F)(F)OC(C)(F)C(F)(F)F
ep-775059 CC(F)(F)OC(F)(CF)C(F)F
ep-775060 CC(F)(OC(F)(F)CF)C(F)F
ep-775061 FCC(F)(F)OC(F)(CF)CF
ep-775062 CC(F)(CF)OC(F)(F)C(F)F
ep-775063 CC(C)(F)OC(F)(F)C(F)(F)F
ep-775064 CC(F)OC(F)(CF)C(F)(F)F
ep-775065 CC(F)(OC(F)CF)C(F)(F)F
ep-775066 CC(F)OC(F)(C(F)F)C(F)F
ep-775067 FCC(F)OC(F)(CF)C(F)F
ep-775068 CC(F)(OC(F)C(F)F)C(F)F
ep-775069 FCC(F)(CF)OC(F)C(F)F
ep-775070 CC(F)(CF)OC(F)C(F)(F)F
ep-775071 CCOC(F)(C(F)F)C(F)(F)F
ep-775072 FCCOC(F)(CF)C(F)(F)F
ep-775073 CC(F)(OCC(F)F)C(F)(F)F
ep-775074 FCCOC(F)(C(F)F)C(F)F
ep-775075 FCC(F)(OCC(F)F)C(F)F
ep-775076 CC(F)(OCC(F)(F)F)C(F)F
ep-775077 FCC(F)(CF)OCC(F)(F)F
ep-775078 CC(F)(F)OC(CF)C(F)(F)F
ep-775079 CC(OC(F)(F)CF)C(F)(F)F
ep-775080 CC(F)(F)OC(C(F)F)C(F)F
ep-775081 FCC(OC(F)(F)CF)C(F)F
ep-775082 CC(OC(F)(F)C(F)F)C(F)F
ep-775083 FCC(CF)OC(F)(F)C(F)F
ep-775084 CC(CF)OC(F)(F)C(F)(F)F
ep-775085 CC(F)OC(C(F)F)C(F)(F)F
ep-775086 FCC(F)OC(CF)C(F)(F)F
ep-775087 CC(OC(F)C(F)F)C(F)(F)F
ep-775088 FCC(F)OC(C(F)F)C(F)F
ep-775089 FCC(OC(F)C(F)F)C(F)F
ep-775090 CC(OC(F)C(F)(F)F)C(F)F
ep-775091 FCC(CF)OC(F)C(F)(F)F
ep-775092 CCOC(C(F)(F)F)C(F)(F)F
ep-775093 FCCOC(C(F)F)C(F)(F)F
ep-775094 FCC(OCC(F)F)C(F)(F)F
ep-775095 CC(OCC(F)(F)F)C(F)(F)F
ep-775096 FC(F)COC(C(F)F)C(F)F
ep-775097 FCC(OCC(F)(F)F)C(F)F
ep-775107 C=C(F)OC(F)(CF)C(F)(F)F
ep-775108 CC(F)(OC(F)=CF)C(F)(F)F
ep-775109 C=C(F)OC(F)(C(F)F)C(F)F
ep-775110 FC=C(F)OC(F)(CF)C(F)F
ep-775111 CC(F)(OC(F)=C(F)F)C(F)F
ep-775112 FCC(F)(CF)OC(F)=C(F)F
ep-775113 C=COC(F)(C(F)F)C(F)(F)F
ep-775114 FC=COC(F)(CF)C(F)(F)F
ep-775115 CC(F)(OC=C(F)F)C(F)(F)F
ep-775116 FC=COC(F)(C(F)F)C(F)F
ep-775117 FCC(F)(OC=C(F)F)C(F)F
ep-775118 C=C(F)OC(C(F)F)C(F)(F)F
ep-775119 FC=C(F)OC(CF)C(F)(F)F
