ep-544085 Fc1ccc2cc1CO2
ep-549310 Cc1c(F)c2ccc1o2
ep-549312 Fc1c2cccc1OC2
ep-564839 Cc1cc2cc(F)c1o2
ep-564987 FCc1cc2ccc1o2
ep-564982 Cc1cc2oc1cc2F
ep-565000 Fc1c(F)c2ccc1o2
ep-560292 Fc1cc2cc(c1)OC2
ep-560303 Fc1ccc2cc1OC2
ep-560773 Fc1cc2ccc1OC2
ep-589330 Fc1c2c3cc(c1o3)C2
ep-715075 Fc1c(F)c2oc1cc2F
